Price,Validity,Description,Tags,Circle,Time,Price2,Days2,Tag1,Tag2,clean_price_per_day
Rs. 107,40 days,"For Validity Extension / Plan Migration customers only -- 3GB + 200 minutes + BSNL Tunes for 40 days -- Charges after freebies are as follows: Voice call charges: Local calls Rs 1/min, STD calls Rs 1.3/min Video Calls : Local/STD:- Rs 2/min SMS: Local 80p",BSNL STD,Rajasthan,2023-Q1,107.0,40,BSNL,STD,2.675
Rs. 99,18 days,"Local, STD & Roaming Calls: Unlimited -- (roaming including Delhi and Mumbai)",BSNL STD,Rajasthan,2023-Q1,99.0,18,BSNL,STD,5.5
Rs. 6000,N.A.,Talktime: Rs.5081.75 -- Validity: Existing Plan -- For users with an active base plan.,BSNL Top up,Rajasthan,2023-Q1,6000.0,N.A.,BSNL,Top up,
Rs. 439,90 days,"Local, STD & Roaming Calls: Unlimited -- SMS: 300 SMS -- (including MTNL network in Mumbai and Delhi)",BSNL STD,Tamil Nadu,2023-Q1,439.0,90,BSNL,STD,4.877777778
Rs. 769,90 days,Unlimited voice calls (Local/STD) any-net in Home LSA and national roaming including MTNL network in Mumbai and Delhi + U/L Data with speed reduced to 40Kbps after 2GB/day + 100SMS/day + BSNL Tunes + EROS Now Entertainment service + Hardy Mobile Games ser,BSNL Local,Tamil Nadu,2023-Q1,769.0,90,BSNL,Local,8.544444444
Rs. 269,28 days,U/L voice calls (Local/STD) any-net in Home LSA and National Roaming (incl Mumbai and Delhi) + U/L Data with speed reduced to 40Kbps after 2GB/day + 100 SMS/ day incl MTNL area Mumbai and Delhi + BSNL Tunes + EROS Now service + Hardy Mobile Games service,BSNL Local,Tamil Nadu,2023-Q1,269.0,28,BSNL,Local,9.607142857
Rs. 1198,365 days,300min any-net voice calls in Home LSA national roaming including MTNL area of Mumbai and Delhi+3GB Data+30SMS) per month for 12 months/365days,BSNL Local,Tamil Nadu,2023-Q1,1198.0,365,BSNL,Local,3.282191781
Rs. 48,30 days,Rs.10 usage value in main account + 20 paisa/min on-net calls + 20 paisa/min off-net calls in home LSA and National roaming including MTNL network in Mumbai and Delhi.Plan extension cannot be done with this voucher,BSNL Local,Tamil Nadu,2023-Q1,48.0,30,BSNL,Local,1.6
Rs. 1007,90 days,"2G/3G Data: 2 GB / Day -- Unlimited Data Pack -- Post FUP Speed: 40 Kbps -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day -- Disney+ Hotstar Mobile for 1 yearSubscription worth Rs 499 -- (including MTNL area Mumbai and Delhi)",BSNL Other,Tamil Nadu,2023-Q1,1007.0,90,BSNL,Other,11.188888889
Rs. 707,90 days,"2G/3G Data: 2 GB / Day -- Unlimited Data Pack -- Post FUP Speed: 40 Kbps -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day -- Disney+ Hotstar Mobile for 3 months -- (including MTNL area Mumbai and Delhi)",BSNL Other,Tamil Nadu,2023-Q1,707.0,90,BSNL,Other,7.855555556
Rs. 239,32 days,Unlimited voice calls Local/STD/Roaming incl.MTNL network+ Unlimited data with speed reduced to 80 kbps after 2GB/day+ 100 SMS/day+ Bundling of Challenges Arena Mobile Gaming Service on Progressive Web App (PWA) by M/s Onmobile Global Limited + *Rs.10 Tal,BSNL Top up,Tamil Nadu,2023-Q1,239.0,32,BSNL,Top up,7.46875
Rs. 1515,365 days,2G/3G Data: 2 GB / Day -- Post FUP Speed: 40 Kbps,BSNL 3G Data,Tamil Nadu,2023-Q1,1515.0,365,BSNL,3G Data,4.150684932
Rs. 228,32 days,Unlimited voice calls Local/STD/Roaming incl -- MTNL network + Unlimited data with speed reduced to 80 kbps after 2GB/day + 100 SMS/day + Bundling of Challenges Arena Mobile Gaming Service on Progressive Web App (PWA) by M/s Onmobile Global Limited,BSNL Local,Tamil Nadu,2023-Q1,228.0,32,BSNL,Local,7.125
Rs. 2399,395 days,For Validity Extension / Plan Migration customers only -- Unlimited voice Local/STD calls any net in Home LSA and national roaming incl -- MTNL network in Mumbai and Delhi + Unlimited data (speed reduced to 40 kbps after 2GB/day) + 100 SMS/day including M,BSNL STD,Tamil Nadu,2023-Q1,2399.0,395,BSNL,STD,6.073417722
Rs. 1999,365 days,For Validity Extension / Plan Migration customers only -- 600GB (regular) Data at high speed (Post which unlimited @ 80 Kbps) + U/L voice + 100SMS/day + Free PRBT with unlimited song change option(30 days) + Lokdhun content (30 days) + EROS NOW Entertainm,BSNL STD,Tamil Nadu,2023-Q1,1999.0,365,BSNL,STD,5.476712329
Rs. 1499,336 days,Validity Extension -- Unlimited free voice calls in home and national roaming including MTNL network roaming area of Delhi and Mumbai.The 100 Free SMS/day will be applicable in home and national roaming including MTNL network roaming area of Delhi and Mum,BSNL STD,Tamil Nadu,2023-Q1,1499.0,336,BSNL,STD,4.461309524
Rs. 1199,336 days,For Validity Extension / Plan Migration customers only -- This Plan is applicable for Inactive2 and Deactive customers only.Unlimited Local/STD/Roaming calls incl.customers Mumbai and Delhi + 24GB + 100 SMS/day. -- Applicable only for PV_1199 (For Inactiv,BSNL STD,Tamil Nadu,2023-Q1,1199.0,336,BSNL,STD,3.568452381
Rs. 999,200 days,For Validity Extension / Plan Migration customers only -- Unlimited voice Local/STD calls any net in Home LSA and national roaming including MTNL network in Mumbai and Delhi for 200 days + PRBT for 2 months.Charges after freebies are as follows: Voice cal,BSNL STD,Tamil Nadu,2023-Q1,999.0,200,BSNL,STD,4.995
Rs. 997,160 days,"For Validity Extension / Plan Migration customers only -- Unlimited Voice Calls + Unlimited Data (speed restricted to 80 Kbps after 2GB/day) + 100 SMS/day + PRBT for 2 months + LOKDHUN.Charges after freebies are as follows: Voice call: Local 2p/sec, STD:2",BSNL STD,Tamil Nadu,2023-Q1,997.0,160,BSNL,STD,6.23125
Rs. 699,130 days,For Validity Extension / Plan Migration customers only -- Unlimited free voice calls in home and national roaming including MTNL network roaming area of Delhi and Mumbai.Unlimited free data with speed reduced to 80 kbps after 0.5GB/day.100 SMS/day is incl,BSNL STD,Tamil Nadu,2023-Q1,699.0,130,BSNL,STD,5.376923077
Rs. 666,105 days,For Validity Extension / Plan Migration customers only -- Unlimited voice calls/Day any-net(Local/STD) in Home LSA and Roaming including Mumbai and Delhi.Unlimited data(speed restricted to 40 kbps after 2GB/day.100 SMS/day is including MTNL area Mumbai an,BSNL STD,Tamil Nadu,2023-Q1,666.0,105,BSNL,STD,6.342857143
Rs. 485,82 days,For Validity Extension / Plan Migration customers only -- Unlimited voice calls/Day any-net (Local/STD) in Home LSA and Roaming including Mumbai and Delhi + Unlimited Data with speed restricted to 40 Kbps after 1.5GB Data/day + 100 SMS/day to Any N/w Incl,BSNL STD,Tamil Nadu,2023-Q1,485.0,82,BSNL,STD,5.914634146
Rs. 399,70 days,For Validity Extension / Plan Migration customers only -- Unlimited free Data with speed reduced to 80Kpbs after 1GB/day + Unlimited free voice calls in home and national roaming including MTNL network roaming area of Delhi and Mumbai + The 100 Free SMS/d,BSNL STD,Tamil Nadu,2023-Q1,399.0,70,BSNL,STD,5.7
Rs. 439,90 days,"Local, STD & Roaming Calls: Unlimited -- SMS: 300 SMS -- (including MTNL network in Mumbai and Delhi)",BSNL STD,UP East,2023-Q1,439.0,90,BSNL,STD,4.877777778
Rs. 769,84 days,U/L voice* + U/L Data with speed reduced to 40Kbps after 2GB/day + 100SMS/day + BSNL Tunes + EROS Now Entertainment service + Hardy Mobile Games service by M/s ONE97 communications limited + Challenges Arena Mobile Gaming Service on Progressive Web App(PW,BSNL Local,UP East,2023-Q1,769.0,84,BSNL,Local,9.154761905
Rs. 1198,365 days,300min any-net voice calls in Home LSA national roaming including MTNL area of Mumbai and Delhi+3GB Data+30SMS) per month for 12 months/365days,BSNL Local,UP East,2023-Q1,1198.0,365,BSNL,Local,3.282191781
Rs. 269,28 days,U/L voice calls (Local/STD) any-net in Home LSA and National Roaming (incl Mumbai and Delhi) + U/L Data with speed reduced to 40Kbps after 2GB/day + 100 SMS/ day incl MTNL area Mumbai and Delhi + BSNL Tunes + EROS Now service + Hardy Mobile Games service,BSNL Local,UP East,2023-Q1,269.0,28,BSNL,Local,9.607142857
Rs. 48,30 days,Rs.10 usage value in main account + 20 paisa/min on-net calls + 20 paisa/min off-net calls in home LSA and National roaming including MTNL network in Mumbai and Delhi.Plan extension cannot be done with this voucher,BSNL Local,UP East,2023-Q1,48.0,30,BSNL,Local,1.6
Rs. 1007,90 days,"2G/3G Data: 2 GB / Day -- Unlimited Data Pack -- Post FUP Speed: 40 Kbps -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day -- Disney+ Hotstar Mobile for 1 yearSubscription worth Rs 499 -- (including MTNL area Mumbai and Delhi)",BSNL Other,UP East,2023-Q1,1007.0,90,BSNL,Other,11.188888889
Rs. 707,90 days,"2G/3G Data: 2 GB / Day -- Unlimited Data Pack -- Post FUP Speed: 40 Kbps -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day -- Disney+ Hotstar Mobile for 3 months -- (including MTNL area Mumbai and Delhi)",BSNL Other,UP East,2023-Q1,707.0,90,BSNL,Other,7.855555556
Rs. 1515,365 days,2G/3G Data: 2 GB / Day -- Post FUP Speed: 40 Kbps,BSNL 3G Data,UP East,2023-Q1,1515.0,365,BSNL,3G Data,4.150684932
Rs. 2399,395 days,For Validity Extension / Plan Migration customers only -- Unlimited voice Local/STD calls any net in Home LSA and national roaming incl -- MTNL network in Mumbai and Delhi + Unlimited data (speed reduced to 40 kbps after 2GB/day) + 100 SMS/day including M,BSNL STD,UP East,2023-Q1,2399.0,395,BSNL,STD,6.073417722
Rs. 1999,365 days,For Validity Extension / Plan Migration customers only -- 600GB (regular) Data at high speed (Post which unlimited @ 80 Kbps) + U/L voice + 100SMS/day + Free PRBT with unlimited song change option(30 days) + Lokdhun content (30 days) + EROS NOW Entertainm,BSNL STD,UP East,2023-Q1,1999.0,365,BSNL,STD,5.476712329
Rs. 1499,336 days,Validity Extension -- Unlimited free voice calls in home and national roaming including MTNL network roaming area of Delhi and Mumbai.The 100 Free SMS/day will be applicable in home and national roaming including MTNL network roaming area of Delhi and Mum,BSNL STD,UP East,2023-Q1,1499.0,336,BSNL,STD,4.461309524
Rs. 1199,336 days,For Validity Extension / Plan Migration customers only -- This Plan is applicable for Inactive2 and Deactive customers only.Unlimited Local/STD/Roaming calls incl.customers Mumbai and Delhi + 24GB + 100 SMS/day -- Applicable only for PV_1199 (For Inactive,BSNL STD,UP East,2023-Q1,1199.0,336,BSNL,STD,3.568452381
Rs. 999,200 days,For Validity Extension / Plan Migration customers only -- Unlimited voice Local/STD calls any net in Home LSA and national roaming including MTNL network in Mumbai and Delhi for 200 days + PRBT for 2 months.Charges after freebies are as follows: Voice cal,BSNL STD,UP East,2023-Q1,999.0,200,BSNL,STD,4.995
Rs. 997,160 days,"For Validity Extension / Plan Migration customers only -- Unlimited Voice Calls + Unlimited Data (speed restricted to 80 Kbps after 2GB/day) + 100 SMS/day + PRBT for 2 months + LOKDHUN.Charges after freebies are as follows: Voice call: Local 2p/sec, STD:2",BSNL STD,UP East,2023-Q1,997.0,160,BSNL,STD,6.23125
Rs. 699,130 days,For Validity Extension / Plan Migration customers only -- Unlimited free voice calls in home and national roaming including MTNL network roaming area of Delhi and Mumbai.Unlimited free data with speed reduced to 80 kbps after 0.5GB/day.100 SMS/day is incl,BSNL STD,UP East,2023-Q1,699.0,130,BSNL,STD,5.376923077
Rs. 666,105 days,For Validity Extension / Plan Migration customers only -- Unlimited voice calls/Day any-net(Local/STD) in Home LSA and Roaming including Mumbai and Delhi.Unlimited data(speed restricted to 40 kbps after 2GB/day.100 SMS/day is including MTNL area Mumbai an,BSNL STD,UP East,2023-Q1,666.0,105,BSNL,STD,6.342857143
